,MFACTOR,STATE,ST_CASE,VEH_NO
0,0,1,10001,1
1,0,1,10002,1
2,0,1,10003,1
3,0,1,10004,1
4,0,1,10005,1
5,0,1,10005,2
6,0,1,10006,1
7,0,1,10007,1
8,0,1,10008,1
9,0,1,10009,1
10,0,1,10010,1
11,0,1,10010,2
12,0,1,10011,1
13,0,1,10011,2
14,0,1,10012,1
15,0,1,10012,2
16,0,1,10012,3
17,0,1,10013,1
18,0,1,10014,1
19,0,1,10015,1
20,0,1,10016,1
21,0,1,10016,2
22,0,1,10017,1
23,0,1,10018,1
24,0,1,10019,1
25,0,1,10020,1
26,0,1,10020,2
27,0,1,10021,1
28,0,1,10021,2
29,0,1,10022,1
30,0,1,10023,1
31,0,1,10024,1
32,0,1,10025,1
33,0,1,10026,1
34,0,1,10027,1
35,0,1,10027,2
36,0,1,10028,1
37,0,1,10029,1
38,0,1,10030,1
39,0,1,10030,2
40,0,1,10031,1
41,0,1,10032,1
42,0,1,10033,1
43,0,1,10034,1
44,0,1,10034,2
45,0,1,10034,3
46,0,1,10034,4
47,0,1,10034,5
48,0,1,10034,6
49,0,1,10035,1
50,0,1,10035,2
51,0,1,10036,1
52,0,1,10036,2
53,0,1,10037,1
54,0,1,10038,1
55,0,1,10039,1
56,0,1,10040,1
57,0,1,10041,1
58,0,1,10042,1
59,0,1,10043,1
60,0,1,10044,1
61,0,1,10045,1
62,0,1,10046,1
63,0,1,10047,1
64,0,1,10048,1
65,0,1,10049,1
66,0,1,10049,2
67,0,1,10050,1
68,0,1,10051,1
69,0,1,10051,2
70,0,1,10052,1
71,1,1,10053,1
72,9,1,10054,1
73,0,1,10054,2
74,99,1,10055,1
75,0,1,10056,1
76,9,1,10057,1
77,0,1,10057,2
78,0,1,10057,3
79,0,1,10058,1
80,0,1,10058,2
81,0,1,10059,1
82,0,1,10060,1
83,0,1,10060,2
84,0,1,10061,1
85,0,1,10062,1
86,0,1,10063,1
87,0,1,10064,1
88,0,1,10065,1
89,0,1,10065,2
90,0,1,10066,1
91,0,1,10067,1
92,0,1,10067,2
93,0,1,10067,3
94,0,1,10067,4
95,0,1,10068,1
96,0,1,10069,1
97,0,1,10069,2
98,0,1,10070,1
99,0,1,10071,1
100,0,1,10071,2
101,0,1,10072,1
102,0,1,10073,1
103,0,1,10074,1
104,0,1,10074,2
105,0,1,10074,3
106,0,1,10074,4
107,0,1,10075,1
108,0,1,10075,2
109,0,1,10076,1
110,0,1,10077,1
111,0,1,10078,1
112,0,1,10079,1
113,0,1,10080,1
114,0,1,10081,1
115,0,1,10081,2
116,0,1,10082,1
117,0,1,10083,1
118,0,1,10083,2
119,0,1,10084,1
120,0,1,10084,2
121,0,1,10084,3
122,0,1,10085,1
123,0,1,10086,1
124,0,1,10086,2
125,0,1,10087,1
126,0,1,10088,1
127,0,1,10089,1
128,0,1,10090,1
129,0,1,10090,2
130,0,1,10091,1
131,0,1,10091,2
132,0,1,10092,1
133,0,1,10092,2
134,0,1,10093,1
135,0,1,10093,2
136,0,1,10093,3
137,0,1,10094,1
138,0,1,10095,1
139,0,1,10095,2
140,0,1,10095,3
141,0,1,10095,4
142,0,1,10095,5
143,0,1,10095,6
144,0,1,10095,7
145,0,1,10095,8
146,0,1,10095,9
147,0,1,10095,10
148,0,1,10096,1
149,0,1,10097,1
150,0,1,10097,2
151,0,1,10098,1
152,0,1,10099,1
153,0,1,10101,1
154,0,1,10102,1
155,0,1,10103,1
156,0,1,10104,1
157,0,1,10104,2
158,0,1,10105,1
159,0,1,10106,1
160,0,1,10107,1
161,0,1,10107,2
162,0,1,10108,1
163,0,1,10108,2
164,0,1,10109,1
165,0,1,10109,2
166,0,1,10109,3
167,0,1,10110,1
168,0,1,10111,1
169,0,1,10112,1
170,0,1,10113,1
171,0,1,10114,1
172,0,1,10114,2
173,0,1,10115,1
174,0,1,10116,1
175,0,1,10116,2
176,0,1,10117,1
177,0,1,10117,2
178,0,1,10118,1
179,0,1,10119,1
180,0,1,10119,2
181,0,1,10120,1
182,0,1,10120,2
183,0,1,10121,1
184,0,1,10121,2
185,0,1,10122,1
186,0,1,10123,1
187,0,1,10123,2
188,0,1,10124,1
189,0,1,10125,1
190,0,1,10126,1
191,0,1,10126,2
192,0,1,10127,1
193,0,1,10127,2
194,0,1,10128,1
195,0,1,10129,1
196,0,1,10129,2
197,0,1,10130,1
198,0,1,10130,2
199,0,1,10131,1
200,0,1,10132,1
201,0,1,10132,2
202,0,1,10133,1
203,0,1,10133,2
204,0,1,10134,1
205,0,1,10134,2
206,0,1,10135,1
207,0,1,10135,2
208,0,1,10135,3
209,0,1,10136,1
210,0,1,10137,1
211,0,1,10138,1
212,0,1,10138,2
213,0,1,10138,3
214,0,1,10139,1
215,0,1,10139,2
216,0,1,10139,3
217,0,1,10140,1
218,0,1,10140,2
219,0,1,10141,1
220,0,1,10141,2
221,0,1,10141,3
222,0,1,10141,4
223,0,1,10141,5
224,0,1,10141,6
225,0,1,10141,7
226,0,1,10141,8
227,0,1,10141,9
228,0,1,10142,1
229,0,1,10143,1
230,0,1,10143,2
231,0,1,10144,1
232,0,1,10144,2
233,0,1,10145,1
234,0,1,10145,2
235,0,1,10146,1
236,0,1,10146,2
237,0,1,10146,3
238,0,1,10147,1
239,0,1,10147,2
240,0,1,10148,1
241,1,1,10149,1
242,0,1,10150,1
243,0,1,10150,2
244,0,1,10151,1
245,99,1,10152,1
246,0,1,10152,2
247,0,1,10153,1
248,0,1,10153,2
249,0,1,10153,3
250,0,1,10153,4
251,0,1,10153,5
252,0,1,10154,1
253,0,1,10155,1
254,0,1,10155,2
255,0,1,10156,1
256,0,1,10157,1
257,0,1,10157,2
258,0,1,10158,1
259,0,1,10158,2
260,0,1,10159,1
261,0,1,10160,1
262,0,1,10161,1
263,0,1,10161,2
264,0,1,10162,1
265,0,1,10163,1
266,0,1,10163,2
267,0,1,10164,1
268,0,1,10165,1
269,0,1,10165,2
270,0,1,10166,1
271,0,1,10167,1
272,0,1,10168,1
273,0,1,10169,1
274,0,1,10169,2
275,0,1,10170,1
276,0,1,10170,2
277,0,1,10171,1
278,0,1,10171,2
279,0,1,10172,1
280,0,1,10172,2
281,0,1,10173,1
282,0,1,10173,2
283,0,1,10174,1
284,0,1,10174,2
285,0,1,10175,1
286,0,1,10176,1
